t,Equal Weight,Max Sharpe,Min Volatility,Risk Parity
2024-01-09 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-10 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-11 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-12 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-15 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-16 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-17 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-18 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-19 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-22 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-23 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-24 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-25 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-26 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-29 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-30 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-01-31 04:00:00,114971.59679772632,116154.79238627836,101626.19822775728,109453.35030266047
2024-02-01 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-02 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-05 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-06 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-07 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-08 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-09 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-12 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-13 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-14 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-15 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-16 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-19 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-20 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-21 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-22 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-23 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-26 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
2024-02-27 04:00:00,114971.59679772632,116154.79238627836,101626.19822775724,109453.35030266047
