final_value,Method
319269.1606244288,historical
306879.8685645173,historical
291168.0118087278,historical
332503.1999131436,historical
281997.4199831084,historical
194778.41836792388,historical
282381.7276103612,historical
339845.9173035108,historical
226556.9296490899,historical
488953.8081044649,historical
290713.01048348827,historical
367989.63745527255,historical
261803.62770931484,historical
263986.72503608285,historical
287858.8117828758,parametric
148357.8393014709,parametric
282043.071032484,parametric
214169.63870178376,parametric
368004.8437082034,parametric
348856.2755271851,parametric
356438.4948572505,parametric
398618.8212621069,parametric
220530.31311367135,parametric
427751.6972821526,parametric
476401.57405265525,parametric
240680.8419503045,parametric
249154.6372469456,parametric
310447.9236922365,parametric
337431.89734137856,parametric
171567.43836314435,parametric
425024.5412444987,parametric
527686.8677664286,parametric
339446.0130321656,parametric
193688.1927508115,parametric
221205.13414646703,parametric
283534.7553688764,parametric
270866.9389207487,parametric
343887.0143279961,parametric
503007.60902877146,parametric
281946.2385117429,parametric
237941.95892138305,parametric
352544.97087269684,parametric
243012.3673574433,parametric
449546.5489723239,parametric
289620.2445418121,parametric
566923.2290816453,parametric
384057.4141869264,parametric
213599.93912733733,parametric
264075.90370529593,parametric
365945.6422521893,parametric
290374.7637296741,parametric
248668.35526453776,parametric
453455.14708929707,parametric
246990.80754712585,parametric
360064.20209127164,parametric
359664.38947827055,parametric
324298.78941136063,parametric
256701.17669226805,parametric
280044.8241881812,parametric
435821.4425039594,parametric
459055.2063663074,parametric
308095.7652848285,parametric
339081.4595972578,parametric
230246.386584676,parametric
291982.1467105983,parametric
337881.66022279044,parametric
301379.7052167185,parametric
353228.8374444503,parametric
218411.44866590085,parametric
370255.4296499525,parametric
364863.3110977732,parametric
563604.8610571391,parametric
364632.1963337423,parametric
186041.6695764369,parametric
476315.6687937603,parametric
320706.956891926,parametric
343239.1224089853,parametric
330611.84630730643,parametric
235898.7011343128,parametric
371910.8044316761,parametric
458594.9985428301,parametric
281017.1257597892,parametric
246525.8058269196,parametric
375265.9531083688,parametric
430087.5128938912,parametric
221862.4492388519,parametric
180842.56715960856,parametric
309938.0373989736,parametric
